config_file,chunk_size,estimator,pop_min,exp_l,pop_max,exp_r,pop_range,exp_range,nlearn_l,nlearn_r,ch_min,ch_max,poperr_min,poperr_max,poperr_range
waldm1sd05n10000,50,bt_est_on,0.032282022,0.075603475,15.19482767,11.99449236,15.16254565,11.91888888,43,0,0.076336466,0.076336466,-0.043321454,3.200335314,3.243656767
waldm1sd05n10000,50,bt_est_on,0.032282022,0.075603475,15.19482767,11.99449236,15.16254565,11.91888888,0,0,0.083826291,0.083826291,-0.043321454,3.200335314,3.243656767
waldm1sd05n10000,50,bt_est_on,0.032282022,0.067463208,15.19482767,11.99449236,15.16254565,11.92702915,43,0,0.067571326,0.067571326,-0.035181186,3.200335314,3.2355165
waldm1sd05n10000,50,bt_est_on,0.032282022,0.067463208,15.19482767,11.99449236,15.16254565,11.92702915,0,0,0.078689879,0.078689879,-0.035181186,3.200335314,3.2355165
waldm1sd05n10000,50,bt_est_on,0.032282022,0.045411962,15.19482767,11.99449236,15.16254565,11.9490804,46,0,0.047314312,0.047314312,-0.01312994,3.200335314,3.213465254
waldm1sd05n10000,50,bt_est_on,0.032282022,0.045411962,15.19482767,11.99449236,15.16254565,11.9490804,0,0,0.079281163,0.079281163,-0.01312994,3.200335314,3.213465254
waldm1sd05n10000,50,bt_est_on,0.032282022,0.045411962,15.19482767,11.99449236,15.16254565,11.9490804,0,0,0.050640904,0.050640904,-0.01312994,3.200335314,3.213465254
waldm1sd05n10000,50,bt_est_on,0.032282022,0.045411962,15.19482767,14.19366974,15.16254565,14.14825778,44,0,0.099786694,0.099786694,-0.01312994,1.00115793,1.014287871
waldm1sd05n10000,50,bt_est_on,0.032282022,0.034903958,15.19482767,14.19366974,15.16254565,14.15876578,45,0,0.036809662,0.036809662,-0.002621936,1.00115793,1.003779867
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,2,0,-13.16629253,-13.16629253,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.073010745,0.073010745,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.055718853,0.055718853,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.071954207,0.071954207,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.095411595,0.095411595,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.041686309,0.041686309,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.09415623,0.09415623,13.19857456,0.534043206,-12.66453135
waldm1sd05n10000,50,bt_est_on,0.032282022,-13.16629253,15.19482767,14.66078447,15.16254565,27.827077,0,0,0.05048282,0.05048282,13.19857456,0.534043206,-12.66453135
