config_file,chunk_size,estimator,exp_l,exp_r,nlearn_l,nlearn_r,ch_min,ch_max,poperr_min,poperr_max,poperr_range
fdistdfn5dfd10n10000,50,bt_est_on,0.053634543326275125,5.895215445102126,15,0,0.0547497296652458,0.0547497296652458,-0.045347954788264755,46.57933549575046,46.624683450538726
fdistdfn5dfd10n10000,50,bt_est_on,0.053634543326275125,7.084119668081586,24,0,0.0948030226261351,0.0948030226261351,-0.045347954788264755,45.390431272771,45.435779227559266
fdistdfn5dfd10n10000,50,bt_est_on,0.04199466803761866,10.890152988433869,30,0,0.04612195074133642,0.04612195074133642,-0.03370807949960829,41.58439795241872,41.61810603191832
fdistdfn5dfd10n10000,50,bt_est_on,0.04199466803761866,10.890152988433869,0,0,0.12121935165849593,0.12121935165849593,-0.03370807949960829,41.58439795241872,41.61810603191832
fdistdfn5dfd10n10000,50,bt_est_on,0.04199466803761866,13.324985500828635,36,0,0.12073211153954808,0.12073211153954808,-0.03370807949960829,39.14956544002395,39.18327351952356
fdistdfn5dfd10n10000,50,bt_est_on,0.024672173251296583,13.324985500828635,32,0,0.024672173251296583,0.024672173251296583,-0.016385584713286213,39.14956544002395,39.16595102473724
fdistdfn5dfd10n10000,50,bt_est_on,0.024672173251296583,13.324985500828635,0,0,0.11891963533879384,0.11891963533879384,-0.016385584713286213,39.14956544002395,39.16595102473724
fdistdfn5dfd10n10000,50,bt_est_on,0.024672173251296583,13.324985500828635,0,0,0.19846205442745102,0.19846205442745102,-0.016385584713286213,39.14956544002395,39.16595102473724
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,13.324985500828635,37,0,0.01270693469968988,0.01270693469968988,-0.004147980434357644,39.14956544002395,39.15371342045831
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,13.324985500828635,0,0,0.1587020154998717,0.1587020154998717,-0.004147980434357644,39.14956544002395,39.15371342045831
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,45,0,0.09122240084447512,0.09122240084447512,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.11425553589117957,0.11425553589117957,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.08733769616576921,0.08733769616576921,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.10464939493827599,0.10464939493827599,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.16769072344629127,0.16769072344629127,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.1276026246225799,0.1276026246225799,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.18828397364581426,0.18828397364581426,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.06553498902368655,0.06553498902368655,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.09146443889592257,0.09146443889592257,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.07835068803749537,0.07835068803749537,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.06007388731820356,0.06007388731820356,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.08540856192358555,0.08540856192358555,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.15216969660090487,0.15216969660090487,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.2126373536070957,0.2126373536070957,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.11011486241259168,0.11011486241259168,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.16734097443522272,0.16734097443522272,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.10894944293988885,0.10894944293988885,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.1908298486109163,0.1908298486109163,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.05678236518158912,0.05678236518158912,-0.004147980434357644,29.69659531257303,29.700743293007385
fdistdfn5dfd10n10000,50,bt_est_on,0.012434568972368014,22.777955628279557,0,0,0.056921250835810365,0.056921250835810365,-0.004147980434357644,29.69659531257303,29.700743293007385
