chunk_far_pct,detect_pct,arl_0,arl_1,dataset,method,semantics,C,k,D
4.878048780487805,85.75213423609067,13.0,1.1630621352557502,TEP Mode 4,Baseline Shewhart Chart,PER-FEATURE,25,500,34
39.02439024390244,93.46482190167795,1.5625,1.0686614173228346,TEP Mode 4,Baseline Shewhart Chart,TOTAL,25,500,34
100.0,100.0,0.0,1.0,TEP Mode 4,Baseline EWMA Chart,PER-FEATURE,25,500,34
100.0,100.0,0.0,1.0,TEP Mode 4,Baseline EWMA Chart,TOTAL,25,500,34
0.0,0.0,41.0,,TEP Mode 4,Baseline Sliding-Window Bootstrap (W=2000),PER-FEATURE,25,500,34
65.85365853658537,90.40329702678834,0.5185185185185185,1.1045262129599478,TEP Mode 4,Baseline Sliding-Window Bootstrap (W=2000),TOTAL,25,500,34
0.0,62.73182219605534,41.0,1.5748474894415767,TEP Mode 4,Proposed RBULT-SPC,PER-FEATURE,25,500,34
4.878048780487805,73.56491021489549,13.0,1.3509403761504601,TEP Mode 4,Proposed RBULT-SPC,TOTAL,25,500,34
90.9090909090909,99.47306791569088,0.1,1.0052972336668629,TEP Mode 5,Baseline Shewhart Chart,PER-FEATURE,25,500,34
100.0,99.94145199063233,0.0,1.0005858230814295,TEP Mode 5,Baseline Shewhart Chart,TOTAL,25,500,34
100.0,100.0,0.0,1.0,TEP Mode 5,Baseline EWMA Chart,PER-FEATURE,25,500,34
100.0,100.0,0.0,1.0,TEP Mode 5,Baseline EWMA Chart,TOTAL,25,500,34
0.0,0.0,44.0,,TEP Mode 5,Baseline Sliding-Window Bootstrap (W=2000),PER-FEATURE,25,500,34
75.0,94.26229508196722,0.3235294117647059,1.0593167701863353,TEP Mode 5,Baseline Sliding-Window Bootstrap (W=2000),TOTAL,25,500,34
11.363636363636363,63.40749414519906,6.5,1.5535549399815327,TEP Mode 5,Proposed RBULT-SPC,PER-FEATURE,25,500,34
27.27272727272727,81.8208430913349,2.4615384615384617,1.2153846153846153,TEP Mode 5,Proposed RBULT-SPC,TOTAL,25,500,34
