dataset,n_samples,n_features,chunk_size,total_chunks,c_thresh,method,overall_coverage_pct,peak_memory_kb,avg_latency_ms,total_time_sec,sample_far_pct,chunk_far_pct,arl_0,arl_1,total_ooc_chunks,ooc_chunk_rate,joint_coverage_pct,joint_far_pct,fwer_adjusted_alpha_dim,key
MetroPT-3,1516948,7,1000,1517,5,Baseline Full-History Bootstrap,98.76003848328544,90932.703125,169.448723955834,257.34002820899997,1.2399615167145726,96.76113360323887,0.0334728033472803,1.4,1459,0.961766644693474,,,,metropt3
MetroPT-3,1516948,7,1000,1517,7,Baseline Full-History Bootstrap,98.76003848328544,90932.703125,169.448723955834,257.34002820899997,1.2399615167145726,96.693657219973,0.0341939986043265,1.4,1458,0.9611074489123268,,,,metropt3
MetroPT-3,1516948,7,1000,1517,10,Baseline Full-History Bootstrap,98.76003848328544,90932.703125,169.448723955834,257.34002820899997,1.2399615167145726,96.42375168690958,0.0370888733379986,1.4,1454,0.958470665787739,,,,metropt3
MetroPT-3,1516948,7,1000,1517,3,Proposed RBULT-SPC,98.8954042684955,0.703125,5.2291245530644845,7.979801708000025,1.104595731504503,95.6140350877193,0.0458715596330275,3.125,1425,0.939353988134476,94.8880251663208,5.111974833679199,0.0071428571428571,metropt3
MetroPT-3,1516948,7,1000,1517,5,Proposed RBULT-SPC,98.8954042684955,0.703125,5.2291245530644845,7.979801708000025,1.104595731504503,95.54655870445345,0.0466101694915254,3.125,1424,0.938694792353329,94.8880251663208,5.111974833679199,0.0071428571428571,metropt3
MetroPT-3,1516948,7,1000,1517,7,Proposed RBULT-SPC,98.8954042684955,0.703125,5.2291245530644845,7.979801708000025,1.104595731504503,95.41160593792172,0.048090523338048,3.125,1422,0.9373764007910348,94.8880251663208,5.111974833679199,0.0071428571428571,metropt3
MetroPT-3,1516948,7,1000,1517,10,Proposed RBULT-SPC,98.8954042684955,0.703125,5.2291245530644845,7.979801708000025,1.104595731504503,95.27665317139,0.0495750708215297,3.125,1420,0.9360580092287408,94.8880251663208,5.111974833679199,0.0071428571428571,metropt3
Industrial Pump,20000,5,200,100,3,Baseline Shewhart Chart,100.0,0.2265625,0.0782265799999915,0.00970775,0.0,0.0,0.0,1.0,0,0.0,,,,pump
Industrial Pump,20000,5,200,100,5,Baseline Shewhart Chart,100.0,0.2265625,0.0782265799999915,0.00970775,0.0,0.0,0.0,1.0,0,0.0,,,,pump
Industrial Pump,20000,5,200,100,7,Baseline Shewhart Chart,100.0,0.2265625,0.0782265799999915,0.00970775,0.0,0.0,0.0,1.0,0,0.0,,,,pump
Industrial Pump,20000,5,200,100,10,Baseline Shewhart Chart,100.0,0.2265625,0.0782265799999915,0.00970775,0.0,0.0,0.0,1.0,0,0.0,,,,pump
Industrial Pump,20000,5,200,100,3,Baseline EWMA Chart,99.912,0.453125,0.1950166499999905,0.020863375,0.0879999999999938,0.0,0.0,12.25,8,0.08,,,,pump
Industrial Pump,20000,5,200,100,5,Baseline EWMA Chart,99.912,0.453125,0.1950166499999905,0.020863375,0.0879999999999938,0.0,0.0,32.666666666666664,3,0.03,,,,pump
Industrial Pump,20000,5,200,100,7,Baseline EWMA Chart,99.912,0.453125,0.1950166499999905,0.020863375,0.0879999999999938,0.0,0.0,46.0,1,0.01,,,,pump
Industrial Pump,20000,5,200,100,10,Baseline EWMA Chart,99.912,0.453125,0.1950166499999905,0.020863375,0.0879999999999938,0.0,0.0,1.0,0,0.0,,,,pump
Industrial Pump,20000,5,200,100,3,Baseline Full-History Bootstrap,98.955,826.90625,2.04802121999998,0.207952916,1.0450000000000017,0.0,0.0,1.0,100,1.0,,,,pump
Industrial Pump,20000,5,200,100,5,Baseline Full-History Bootstrap,98.955,826.90625,2.04802121999998,0.207952916,1.0450000000000017,0.0,0.0,1.020408163265306,98,0.98,,,,pump
Industrial Pump,20000,5,200,100,7,Baseline Full-History Bootstrap,98.955,826.90625,2.04802121999998,0.207952916,1.0450000000000017,0.0,0.0,1.098901098901099,91,0.91,,,,pump
Industrial Pump,20000,5,200,100,10,Baseline Full-History Bootstrap,98.955,826.90625,2.04802121999998,0.207952916,1.0450000000000017,0.0,0.0,1.6666666666666667,60,0.6,,,,pump
Industrial Pump,20000,5,200,100,3,Proposed RBULT-SPC,99.41,0.515625,15.891269549999976,1.5918898329999998,0.5900000000000034,0.0,0.0,1.4492753623188406,69,0.69,97.07,2.9299999999999926,0.01,pump
Industrial Pump,20000,5,200,100,5,Proposed RBULT-SPC,99.41,0.515625,15.891269549999976,1.5918898329999998,0.5900000000000034,0.0,0.0,8.181818181818182,11,0.11,97.07,2.9299999999999926,0.01,pump
Industrial Pump,20000,5,200,100,7,Proposed RBULT-SPC,99.41,0.515625,15.891269549999976,1.5918898329999998,0.5900000000000034,0.0,0.0,79.0,1,0.01,97.07,2.9299999999999926,0.01,pump
Industrial Pump,20000,5,200,100,10,Proposed RBULT-SPC,99.41,0.515625,15.891269549999976,1.5918898329999998,0.5900000000000034,0.0,0.0,1.0,0,0.0,97.07,2.9299999999999926,0.01,pump
Water Pump,220320,10,500,441,3,Baseline Shewhart Chart,51.056054829339146,0.3515625,0.1778587142857059,0.0911755409999997,48.943945170660854,100.0,0.0,1.0,441,1.0,,,,waterpump
Water Pump,220320,10,500,441,5,Baseline Shewhart Chart,51.056054829339146,0.3515625,0.1778587142857059,0.0911755409999997,48.943945170660854,100.0,0.0,1.0,441,1.0,,,,waterpump
Water Pump,220320,10,500,441,7,Baseline Shewhart Chart,51.056054829339146,0.3515625,0.1778587142857059,0.0911755409999997,48.943945170660854,100.0,0.0,1.0,441,1.0,,,,waterpump
Water Pump,220320,10,500,441,10,Baseline Shewhart Chart,51.056054829339146,0.3515625,0.1778587142857059,0.0911755409999997,48.943945170660854,100.0,0.0,1.0,441,1.0,,,,waterpump
Water Pump,220320,10,500,441,3,Baseline EWMA Chart,25.649645969498913,0.703125,0.9225682154194992,0.4254629159999998,74.35035403050108,100.0,0.0,1.0,441,1.0,,,,waterpump
Water Pump,220320,10,500,441,5,Baseline EWMA Chart,25.649645969498913,0.703125,0.9225682154194992,0.4254629159999998,74.35035403050108,100.0,0.0,1.0,441,1.0,,,,waterpump
Water Pump,220320,10,500,441,7,Baseline EWMA Chart,25.649645969498913,0.703125,0.9225682154194992,0.4254629159999998,74.35035403050108,100.0,0.0,1.0,441,1.0,,,,waterpump
Water Pump,220320,10,500,441,10,Baseline EWMA Chart,25.649645969498913,0.703125,0.9225682154194992,0.4254629159999998,74.35035403050108,100.0,0.0,1.0,441,1.0,,,,waterpump
Water Pump,220320,10,500,441,3,Baseline Full-History Bootstrap,98.62903957879448,17667.1484375,31.237808394557845,13.868037291,1.3709604212055098,81.23456790123457,0.2310030395136778,1.0,363,0.8231292517006803,,,,waterpump
Water Pump,220320,10,500,441,5,Baseline Full-History Bootstrap,98.62903957879448,17667.1484375,31.237808394557845,13.868037291,1.3709604212055098,76.29629629629629,0.3106796116504854,1.1724137931034482,338,0.7664399092970522,,,,waterpump
Water Pump,220320,10,500,441,7,Baseline Full-History Bootstrap,98.62903957879448,17667.1484375,31.237808394557845,13.868037291,1.3709604212055098,71.60493827160494,0.396551724137931,1.1724137931034482,319,0.7233560090702947,,,,waterpump
Water Pump,220320,10,500,441,10,Baseline Full-History Bootstrap,98.62903957879448,17667.1484375,31.237808394557845,13.868037291,1.3709604212055098,63.456790123456784,0.5758754863813229,1.1724137931034482,286,0.6485260770975056,,,,waterpump
