ooc_threshold_count,method,overall_coverage_pct,sample_far_pct,chunk_far_pct,arl_0,arl_1,peak_memory_kb,avg_latency_ms
5,Baseline Shewhart Chart,91.19424949290061,8.80575050709939,100.0,0.0,1.0,1.15,0.5538306275862079
5,Baseline EWMA Chart,81.78938979039891,18.210610209601086,100.0,0.0,1.0,2.3,3.42446412816092
5,Baseline Sliding-Window Bootstrap (W=2000),99.0195892494929,0.9804107505071045,100.0,0.0,1.0,582.87,4.030906561206898
5,Proposed RBULT-SPC,96.73103279242731,3.268967207572686,100.0,0.0,1.0,3.23,10.1521450908046
10,Baseline Shewhart Chart,91.19424949290061,8.80575050709939,100.0,0.0,1.003206062372486,1.15,0.5538306275862079
10,Baseline EWMA Chart,81.78938979039891,18.210610209601086,100.0,0.0,1.0,2.3,3.42446412816092
10,Baseline Sliding-Window Bootstrap (W=2000),99.0195892494929,0.9804107505071045,100.0,0.0,1.0037911927675707,582.87,4.030906561206898
10,Proposed RBULT-SPC,96.73103279242731,3.268967207572686,100.0,0.0,1.000290613193839,3.23,10.1521450908046
15,Baseline Shewhart Chart,91.19424949290061,8.80575050709939,92.10526315789474,0.08571428571428572,1.0219845513963162,1.15,0.5538306275862079
15,Baseline EWMA Chart,81.78938979039891,18.210610209601086,100.0,0.0,1.0,2.3,3.42446412816092
15,Baseline Sliding-Window Bootstrap (W=2000),99.0195892494929,0.9804107505071045,94.73684210526315,0.05555555555555555,1.0183594906721942,582.87,4.030906561206898
15,Proposed RBULT-SPC,96.73103279242731,3.268967207572686,94.73684210526315,0.05555555555555555,1.0067290813341134,3.23,10.1521450908046
25,Baseline Shewhart Chart,91.19424949290061,8.80575050709939,55.26315789473685,0.8095238095238095,1.0891497461928934,1.15,0.5538306275862079
25,Baseline EWMA Chart,81.78938979039891,18.210610209601086,100.0,0.0,1.0,2.3,3.42446412816092
25,Baseline Sliding-Window Bootstrap (W=2000),99.0195892494929,0.9804107505071045,76.31578947368422,0.3,1.0578461538461539,582.87,4.030906561206898
25,Proposed RBULT-SPC,96.73103279242731,3.268967207572686,36.84210526315789,1.6,1.177136972193615,3.23,10.1521450908046
50,Baseline Shewhart Chart,91.19424949290061,8.80575050709939,10.526315789473683,6.8,1.2144629563984404,1.15,0.5538306275862079
50,Baseline EWMA Chart,81.78938979039891,18.210610209601086,100.0,0.0,1.0,2.3,3.42446412816092
50,Baseline Sliding-Window Bootstrap (W=2000),99.0195892494929,0.9804107505071045,73.68421052631578,0.3448275862068966,1.1595672751859365,582.87,4.030906561206898
50,Proposed RBULT-SPC,96.73103279242731,3.268967207572686,0.0,38.0,1.3909313725490196,3.23,10.1521450908046
