dataset,D,k,n_ooc_chunks,n_in_control,AUC_max,median_viol_in_control,median_viol_ooc,mean_viol_pct_of_k
TEP Mode 1,34,500,3442,38,0.8840140371265176,8.0,114.5,28.35609195402299
TEP Mode 3,34,500,3440,39,0.4481365533691115,292.0,289.0,56.01793618855992
TEP Mode 4,34,500,3397,41,0.8882765998693252,4.0,88.0,25.84746945898779
TEP Mode 5,34,500,3416,44,0.8292560410900575,7.0,69.0,24.307745664739883
MetroPT-3,7,1000,35,1482,0.15435704646230963,33.0,0.0,6.187738958470666
Water Pump,10,500,36,405,0.4021262002743484,2.0,0.0,8.152834467120181
AI4I 2020,5,100,94,6,0.4352836879432624,6.0,5.0,6.21
