,filename,method,Ch_size,ExpL,ExpU,ExpRange,ErL,ErU,ErRange
0,waldm1sd2n50000_ch,whole,50,0.08203876100438401,9.230184396335062,9.148145635330678,0.0019204421795213644,1.9995117215713574,1.915552518387452
1,waldm1sd2n50000_ch,whole,100,0.08245987799404642,9.230532583464653,9.148072705470607,0.0014993251898589577,1.9991635344417666,1.9152043312578613
2,waldm1sd2n50000_ch,whole,500,0.08208832419539647,9.230162512119046,9.14807418792365,0.001870878988508906,1.9995336057873736,1.9155744026034682
3,waldm1sd2n50000_ch,online,50,0.08395920318390537,9.229971714442648,9.146012511258743,0.0,1.9997244034637713,1.915765200279866
4,waldm1sd2n50000_ch,online,100,0.08395920318390537,9.229971714442648,9.146012511258743,0.0,1.9997244034637713,1.915765200279866
5,waldm1sd2n50000_ch,online,500,0.08395920318390537,9.229971714442648,9.146012511258743,0.0,1.9997244034637713,1.915765200279866
6,waldm1sd2n50000_ch,onlinemm,50,0.11582879507475755,9.229971714442648,9.114142919367891,-0.03186959189085217,1.9997244034637713,1.915765200279866
7,waldm1sd2n50000_ch,onlinemm,100,0.1055945328923177,9.229971714442648,9.124377181550331,-0.021635329708412324,1.9997244034637713,1.915765200279866
8,waldm1sd2n50000_ch,onlinemm,500,0.10003113333772613,9.229971714442648,9.129940581104922,-0.01607193015382076,1.9997244034637713,1.915765200279866
9,waldm1sd2n10000_ch,whole,50,0.12845893705726064,5.307656294549107,5.179197357491846,-0.038940926792615516,0.7575345001091494,0.6680164898445042
10,waldm1sd2n10000_ch,whole,100,0.12798346391545312,5.308401551134128,5.1804180872186745,-0.038465453650808,0.7567892435241284,0.6672712332594832
11,waldm1sd2n10000_ch,whole,500,0.12892616229568754,5.3077105573995205,5.178784395103833,-0.03940815203104242,0.7574802372587355,0.6679622269940904
12,waldm1sd2n10000_ch,online,50,0.13037090130395113,5.307515452034869,5.177144550730917,-0.040852891039306005,0.7576753426233873,0.6681573323587422
13,waldm1sd2n10000_ch,online,100,0.13037090130395113,5.307515452034869,5.177144550730917,-0.040852891039306005,0.7576753426233873,0.6681573323587422
14,waldm1sd2n10000_ch,online,500,0.12915309339657305,5.307515452034869,5.178362358638296,-0.03963508313192793,0.7576753426233873,0.6681573323587422
15,waldm1sd2n10000_ch,onlinemm,50,0.15459140276835937,5.223801734373964,5.069210331605605,-0.06507339250371424,0.8413890602842917,0.7518710500196466
16,waldm1sd2n10000_ch,onlinemm,100,0.14944768146069312,5.233301719846099,5.083854038385406,-0.059929671196048,0.8318890748121568,0.7423710645475117
17,waldm1sd2n10000_ch,onlinemm,500,0.14057037357719443,5.190262366809193,5.049691993231999,-0.05105236331254931,0.8749284278490626,0.7854104175844174
18,waldm1sd05n10000_ch,whole,50,0.029831594379725934,20.041801786457004,20.01197019207728,0.0012697973084222491,5.9880154565686965,5.9569140648805465
19,waldm1sd05n10000_ch,whole,100,0.029693583263765144,20.039136777574505,20.00944319431074,0.001407808424383039,5.990680465451195,5.959579073763045
20,waldm1sd05n10000_ch,whole,500,0.028015979985333117,20.04145611176615,20.013440131780815,0.0030854117028150663,5.988361131259552,5.957259739571402
21,waldm1sd05n10000_ch,online,50,0.031101391688148183,20.03812869059012,20.007027298901974,0.0,5.99168855243558,5.96058716074743
22,waldm1sd05n10000_ch,online,100,0.031101391688148183,20.03812869059012,20.007027298901974,0.0,5.99168855243558,5.96058716074743
23,waldm1sd05n10000_ch,online,500,0.031101391688148183,20.03812869059012,20.007027298901974,0.0,5.99168855243558,5.96058716074743
24,waldm1sd05n10000_ch,onlinemm,50,0.04487271556750476,20.03812869059012,19.993255975022617,-0.013771323879356576,5.99168855243558,5.96058716074743
25,waldm1sd05n10000_ch,onlinemm,100,0.04287965304142396,20.03812869059012,19.995249037548696,-0.011778261353275775,5.99168855243558,5.96058716074743
26,waldm1sd05n10000_ch,onlinemm,500,0.031101391688148183,20.03812869059012,20.007027298901974,0.0,5.99168855243558,5.96058716074743
27,waldm1sd05n50000_ch,whole,50,0.029841869608774774,32.727444887813824,32.69760301820505,-0.0022289141537090718,-0.00095079466245096,-0.028563750117520215
28,waldm1sd05n50000_ch,whole,100,0.03020763431523743,32.72914540907852,32.69893777476328,-0.0025946788601717286,-0.0026513159271459585,-0.030264271382215213
29,waldm1sd05n50000_ch,whole,500,0.030406841341260593,32.72695990092854,32.69655305958728,-0.002793885886194891,-0.0004658077771679814,-0.028078763232237236
30,waldm1sd05n50000_ch,online,50,0.032198137510613734,32.72649409315137,32.69429595564076,-0.004585182055548032,0.0,-0.027612955455069255
31,waldm1sd05n50000_ch,online,100,0.032198137510613734,32.72649409315137,32.69429595564076,-0.004585182055548032,0.0,-0.027612955455069255
32,waldm1sd05n50000_ch,online,500,0.032198137510613734,32.72649409315137,32.69429595564076,-0.004585182055548032,0.0,-0.027612955455069255
33,waldm1sd05n50000_ch,onlinemm,50,0.040115954626233796,32.72649409315137,32.68637813852514,-0.012502999171168094,0.0,-0.027612955455069255
34,waldm1sd05n50000_ch,onlinemm,100,0.03951096278697748,32.72649409315137,32.686983130364396,-0.011898007331911778,0.0,-0.027612955455069255
35,waldm1sd05n50000_ch,onlinemm,500,0.037237742245992356,27.877734952061136,27.840497209815144,-0.009624786790926654,4.8487591410902375,4.821146185635168
36,waldm3sd05n10000_ch,whole,50,0.027365649078047394,104.38904545811354,104.3616798090355,0.004257702302945976,94.64703677624749,94.61541342486649
37,waldm3sd05n10000_ch,whole,100,0.023650356718649235,104.3962477130618,104.37259735634315,0.007972994662344135,94.63983452129924,94.60821116991823
